"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","All Addresses",15953,,,,0,1933,100%,2,3500,31,115
1,"/All Addresses","93.57.122.34",123,,,,0,0015,0,77%,0,8500,72,697
1,"/All Addresses","93.184.220.29",2,,,,0,0000,0,01%,0,0200,60,285
1,"/All Addresses","92.122.95.67",3,,,,0,0000,0,02%,0,0100,0,000
1,"/All Addresses","54.200.58.250",28,,,,0,0003,0,18%,0,0800,11,262
1,"/All Addresses","52.42.60.182",181,,,,0,0022,1,13%,0,3100,14,371
1,"/All Addresses","52.223.203.251",1928,,,,0,0234,12,09%,1,0600,15,744
1,"/All Addresses","52.223.198.17",127,,,,0,0015,0,80%,0,2200,15,603
1,"/All Addresses","44.236.116.187",64,,,,0,0008,0,40%,0,1300,14,794
1,"/All Addresses","239.255.255.250",26,,,,0,0003,0,16%,0,1000,32,850
1,"/All Addresses","23.96.225.71",14,,,,0,0002,0,09%,0,0400,23,080
1,"/All Addresses","23.160.0.254",26,,,,0,0003,0,16%,0,1500,14,584
1,"/All Addresses","23.160.0.0",18,,,,0,0002,0,11%,0,1300,15,634
1,"/All Addresses","23.1.76.223",21,,,,0,0003,0,13%,0,1600,9,363
1,"/All Addresses","216.58.209.54",3769,,,,0,0457,23,63%,2,0700,33,550
1,"/All Addresses","20.86.94.130",72,,,,0,0009,0,45%,0,0800,14,525
1,"/All Addresses","192.99.44.206",43,,,,0,0005,0,27%,0,0700,10,857
1,"/All Addresses","192.168.26.74",15927,,,,0,1930,99,84%,2,3500,31,115
1,"/All Addresses","192.168.26.254",26,,,,0,0003,0,16%,0,1000,32,850
1,"/All Addresses","192.168.26.253",107,,,,0,0013,0,67%,0,1300,9,236
1,"/All Addresses","192.0.78.22",20,,,,0,0002,0,13%,0,1500,7,651
1,"/All Addresses","192.0.78.12",28,,,,0,0003,0,18%,0,1700,20,801
1,"/All Addresses","185.199.109.153",5,,,,0,0001,0,03%,0,0500,16,482
1,"/All Addresses","185.199.109.133",7,,,,0,0001,0,04%,0,0500,16,482
1,"/All Addresses","18.65.82.16",66,,,,0,0008,0,41%,0,5100,12,913
1,"/All Addresses","18.65.82.11",22,,,,0,0003,0,14%,0,1000,10,286
1,"/All Addresses","178.62.84.56",126,,,,0,0015,0,79%,0,3400,53,441
1,"/All Addresses","173.222.245.89",4,,,,0,0000,0,03%,0,0400,16,480
1,"/All Addresses","157.90.91.71",4,,,,0,0000,0,03%,0,0200,24,342
1,"/All Addresses","157.240.231.60",44,,,,0,0005,0,28%,0,4100,72,613
1,"/All Addresses","157.240.203.60",44,,,,0,0005,0,28%,0,0700,62,198
1,"/All Addresses","151.101.1.69",5,,,,0,0001,0,03%,0,0500,16,482
1,"/All Addresses","149.56.111.186",29,,,,0,0004,0,18%,0,0700,13,395
1,"/All Addresses","149.154.167.92",47,,,,0,0006,0,29%,0,0400,24,187
1,"/All Addresses","146.75.62.214",17,,,,0,0002,0,11%,0,1200,9,284
1,"/All Addresses","146.75.62.167",295,,,,0,0036,1,85%,0,4600,9,990
1,"/All Addresses","142.251.209.14",38,,,,0,0005,0,24%,0,2900,29,918
1,"/All Addresses","142.250.184.97",607,,,,0,0074,3,80%,0,5100,23,617
1,"/All Addresses","142.250.184.67",308,,,,0,0037,1,93%,1,2200,47,626
1,"/All Addresses","142.250.184.42",59,,,,0,0007,0,37%,0,1500,11,016
1,"/All Addresses","142.250.184.35",772,,,,0,0094,4,84%,1,7500,54,601
1,"/All Addresses","142.250.180.174",56,,,,0,0007,0,35%,0,1800,20,261
1,"/All Addresses","142.250.180.142",2955,,,,0,0358,18,52%,2,1900,21,671
1,"/All Addresses","142.250.180.138",90,,,,0,0011,0,56%,0,1900,9,210
1,"/All Addresses","142.250.180.132",244,,,,0,0030,1,53%,0,6400,8,684
1,"/All Addresses","13.69.106.216",1,,,,0,0000,0,01%,0,0100,47,183
1,"/All Addresses","13.107.213.43",3,,,,0,0000,0,02%,0,0100,0,000
1,"/All Addresses","108.177.127.188",4,,,,0,0000,0,03%,0,0200,9,409
1,"/All Addresses","108.156.3.139",641,,,,0,0078,4,02%,1,2300,12,621
1,"/All Addresses","108.139.246.176",1445,,,,0,0175,9,06%,1,3000,13,780
1,"/All Addresses","108.139.243.20",1088,,,,0,0132,6,82%,1,5100,47,076
1,"/All Addresses","104.26.6.201",246,,,,0,0030,1,54%,0,5300,13,477
1,"/All Addresses","104.26.1.19",22,,,,0,0003,0,14%,0,1800,10,608
1,"/All Addresses","104.26.0.19",40,,,,0,0005,0,25%,0,2500,10,633
1,"/All Addresses","104.22.15.220",19,,,,0,0002,0,12%,0,1200,24,420
